id,tt_id,genre,bucket
178,9205,/Drama/,Serious Drama
179,7812,/Drama/,Serious Drama
180,7667,/Drama/,Serious Drama
181,4622,/Drama/,Serious Drama
182,3490,/Drama/,Serious Drama
183,1138,/Drama/,Serious Drama
184,790,/Drama/,Serious Drama
185,39413,/Drama/,Serious Drama
186,38413,/Drama/,Serious Drama
187,37970,/Drama/,Serious Drama
188,37449,/Drama/,Serious Drama
189,33117,/Drama/,Serious Drama
190,32433,/Drama/,Serious Drama
191,30490,/Drama/,Serious Drama
192,30063,/Drama/,Serious Drama
193,26437,/Drama/,Serious Drama
194,25220,/Drama/,Serious Drama
195,25321,/Drama/,Serious Drama
196,24109,/Drama/,Serious Drama
197,21570,/Drama/,Serious Drama
198,21281,/Drama/,Serious Drama
199,20364,/Drama/,Serious Drama
200,20169,/Drama/,Serious Drama
201,20149,/Drama/,Serious Drama
202,20392,/Drama/,Serious Drama
203,16287,/Drama/,Serious Drama
204,12162,/Drama/,Serious Drama
205,10125,/Drama/,Serious Drama
206,11809,/Drama/,Serious Drama
207,8056,/Drama/,Serious Drama
208,7940,/Drama/,Serious Drama
209,5624,/Drama/,Serious Drama
210,4890,/Drama/,Serious Drama
211,4836,/Drama/,Serious Drama
212,2952,/Drama/,Serious Drama
213,2763,/Drama/,Serious Drama
214,28822,/Drama/,Serious Drama
215,21330,/Drama/,Serious Drama
216,16162,/Drama/,Serious Drama
217,12310,/Drama/,Serious Drama
218,3765,/Drama/,Serious Drama
219,2358,/Drama/,Serious Drama
220,38999,/Drama/,Serious Drama
221,30848,/Drama/,Serious Drama
222,26591,/Drama/,Serious Drama
223,20906,/Drama/,Serious Drama
224,21594,/Drama/,Serious Drama
225,19591,/Drama/,Serious Drama
226,11856,/Drama/,Serious Drama
227,9793,/Drama/,Serious Drama
228,4408,/Drama/,Serious Drama
229,3915,/Drama/,Serious Drama
230,2537,/Drama/,Serious Drama
231,1561,/Drama/,Serious Drama
232,47,/Drama/,Serious Drama
233,34430,/Drama/,Serious Drama
234,276,/Drama/,Serious Drama
235,30556,/Drama/,Serious Drama
236,28215,/Drama/,Serious Drama
237,21355,/Drama/,Serious Drama
238,21315,/Drama/,Serious Drama
239,17611,/Drama/,Serious Drama
240,15865,/Drama/,Serious Drama
241,9818,/Drama/,Serious Drama
242,9324,/Drama/,Serious Drama
243,7591,/Drama/,Serious Drama
244,2472,/Drama/,Serious Drama
245,2242,/Drama/,Serious Drama
